 6.75e-26	-1.072	-0.098	 4471.50
 2.90e-26	-0.732	-0.071	 2945.10
 5.97e-26	-0.727	-0.061	 3188.74
 7.58e-27	-0.818	-0.084	 3613.64
 1.46e-25	-0.733	-0.042	 3888.65
 1.54e-26	-0.824	-0.083	 3964.73
 3.30e-26	-1.063	-0.125	 4026.21
 2.32e-27	-0.328	 0.069	 4120.82
 8.73e-27	-1.070	-0.122	 4387.93
 1.00e-27	-0.483	 0.024	 4437.55
 6.75e-26	-1.072	-0.098	 4471.50
 5.98e-27	-0.356	 0.073	 4713.17
 1.82e-26	-1.085	-0.098	 4921.93
 3.82e-26	-0.838	-0.071	 5015.68
 2.41e-27	-0.499	 0.024	 5047.74
 1.70e-25	-1.061	-0.009	 5875.66
 4.81e-26	-1.065	-0.003	 6678.16
 2.77e-26	-0.398	 0.075	 7065.25
 8.83e-27	-0.544	 0.016	 7281.35
 1.60e-27	-0.732	-0.071	 9463.58
 2.94e-25	-0.400	 0.134	 10830.25
 3.32e-27	-1.063	-0.125	 11969.06
 1.91e-27	-0.727	-0.061	 12527.49
 1.03e-26	-1.258	-0.095	 12784.92
 3.31e-27	-1.201	-0.057	 12790.50
 1.10e-27	-1.070	-0.122	 12968.43
 8.19e-28	-0.824	-0.083	 15083.65
 4.77e-27	-1.072	-0.098	 17002.40
 2.24e-26	-1.236	-0.020	 18685.33
 6.80e-27	-1.089	 0.079	 18697.21
 1.68e-27	-1.085	-0.098	 19089.36
 1.11e-27	-0.727	-0.061	 19543.19
 4.23e-26	-0.868	-0.019	 20581.28
 9.13e-28	-0.356	 0.073	 21120.12
 4.24e-26	-0.252	 0.429	 4471.50
 2.34e-26	-0.294	 0.200	 2945.10
 4.99e-26	-0.223	 0.212	 3188.74
 5.35e-27	-0.147	 0.336	 3613.64
 1.42e-25	-0.173	 0.172	 3888.65
 1.12e-26	-0.195	 0.306	 3964.73
 2.33e-26	-0.473	 0.263	 4026.21
 2.28e-27	 0.337	 0.295	 4120.82
 5.79e-27	-0.339	 0.349	 4387.93
 8.71e-28	 0.109	 0.300	 4437.55
 4.24e-26	-0.252	 0.429	 4471.50
 6.96e-27	 0.275	 0.201	 4713.17
 1.11e-26	-0.187	 0.470	 4921.93
 2.91e-26	-0.190	 0.299	 5015.68
 2.32e-27	 0.080	 0.241	 5047.74
 8.69e-26	 0.352	 0.822	 5875.66
 2.28e-26	 0.420	 0.890	 6678.16
 1.09e-25	-0.309	-0.596	 7065.25
 1.34e-26	-0.155	-0.061	 7281.35
 1.29e-27	-0.294	 0.200	 9463.58
 4.73e-24	-0.740	-0.905	 10830.25
 2.35e-27	-0.473	 0.263	 11969.06
 1.60e-27	-0.223	 0.212	 12527.49
 5.90e-27	-0.312	 0.519	 12784.92
 1.50e-27	 0.197	 0.835	 12790.50
 7.32e-28	-0.339	 0.349	 12968.43
 5.96e-28	-0.195	 0.306	 15083.65
 3.00e-27	-0.252	 0.429	 17002.40
 9.90e-27	 0.192	 0.885	 18685.33
 2.32e-27	 0.958	 1.325	 18697.21
 1.03e-27	-0.187	 0.470	 19089.36
 9.32e-28	-0.223	 0.212	 19543.19
 7.07e-26	-0.431	-0.044	 20581.28
 1.06e-27	 0.275	 0.201	 21120.12
 4.24e-26	-0.205	 0.475	 4471.50
 2.36e-26	-0.269	 0.236	 2945.10
 5.24e-26	-0.214	 0.223	 3188.74
 5.48e-27	-0.129	 0.366	 3613.64
 1.62e-25	-0.215	 0.122	 3888.65
 1.15e-26	-0.178	 0.334	 3964.73
 2.30e-26	-0.429	 0.315	 4026.21
 2.72e-27	 0.278	 0.197	 4120.82
 5.88e-27	-0.319	 0.380	 4387.93
 9.47e-28	 0.090	 0.269	 4437.55
 4.24e-26	-0.205	 0.475	 4471.50
 8.84e-27	 0.173	 0.059	 4713.17
 1.15e-26	-0.184	 0.486	 4921.93
 3.08e-26	-0.190	 0.305	 5015.68
 2.65e-27	 0.031	 0.176	 5047.74
 9.69e-26	 0.323	 0.788	 5875.66
 2.65e-26	 0.283	 0.798	 6678.16
 1.74e-25	-0.573	-0.871	 7065.25
 1.76e-26	-0.300	-0.224	 7281.35
 1.31e-27	-0.269	 0.236	 9463.58
 5.89e-24	-0.853	-0.838	 10830.25
 2.32e-27	-0.429	 0.315	 11969.06
 1.68e-27	-0.214	 0.223	 12527.49
 6.01e-27	-0.299	 0.547	 12784.92
 1.61e-27	 0.143	 0.809	 12790.50
 7.43e-28	-0.319	 0.380	 12968.43
 6.12e-28	-0.178	 0.334	 15083.65
 3.00e-27	-0.205	 0.475	 17002.40
 1.10e-26	 0.076	 0.823	 18685.33
 2.79e-27	 0.723	 1.180	 18697.21
 1.06e-27	-0.184	 0.486	 19089.36
 9.78e-28	-0.214	 0.223	 19543.19
 1.01e-25	-0.621	-0.194	 20581.28
 1.35e-27	 0.173	 0.059	 21120.12
